2011-11-16	3	$13333.16	[['CFX', -0.04542], ['RVBD', 0.01617]]
2011-11-17	4	$13333.16	[]
2011-11-18	5	$13333.16	[]
2011-11-19	6	$13333.16	[]
2011-11-20	7	$13333.16	[]
2011-11-21	1	$13333.16	[]
2011-11-22	2	$13333.16	[]
2011-11-23	3	$13968.46	[['DLB', 0.01714], ['NVDA', 0.03217], ['WGL', 0.01422]]
2011-11-24	4	$13968.46	[]
2011-11-25	5	$13968.46	[]
2011-11-26	6	$13968.46	[]
2011-11-27	7	$13968.46	[]
2011-11-28	1	$13968.46	[]
2011-11-29	2	$13968.46	[]
2011-11-30	3	$13968.46	[]
2011-12-01	4	$12340.25	[['ZOLT', -0.16282]]
2011-12-02	5	$12715.25	[['STX', 0.0375]]
2011-12-03	6	$12715.25	[]
2011-12-04	7	$12715.25	[]
2011-12-05	1	$12715.25	[]
2011-12-06	2	$12715.25	[]
2011-12-07	3	$12715.25	[]
2011-12-08	4	$12842.83	[['ATW', 0.01276]]
2011-12-09	5	$12842.83	[]
2011-12-10	6	$12842.83	[]
2011-12-11	7	$12842.83	[]
2011-12-12	1	$12842.83	[]
2011-12-13	2	$12842.83	[]
2011-12-14	3	$13448.41	[['HES', 0.03358], ['MRO', 0.00662], ['MUR', 0.02035]]
2011-12-15	4	$13448.41	[]
2011-12-16	5	$13448.41	[]
2011-12-17	6	$13448.41	[]
2011-12-18	7	$13448.41	[]
2011-12-19	1	$13448.41	[]
2011-12-20	2	$13448.41	[]
2011-12-21	3	$13998.93	[['FFIV', 0.05505]]
2011-12-22	4	$13998.93	[]
2011-12-23	5	$13998.93	[]
2011-12-24	6	$13998.93	[]
2011-12-25	7	$13998.93	[]
2011-12-26	1	$13998.93	[]
2011-12-27	2	$13998.93	[]
2011-12-28	3	$13998.93	[]
2011-12-29	4	$14248.36	[['END', 0.02494]]
2011-12-30	5	$14248.36	[]
2011-12-31	6	$14248.36	[]
2012-01-01	7	$14248.36	[]
2012-01-02	1	$14248.36	[]
2012-01-03	2	$14248.36	[]
2012-01-04	3	$13459.77	[['CVLT', -0.02592], ['CYMI', 0.0008], ['RVBD', -0.05374]]
2012-01-05	4	$12695.44	[['AEO', -0.07643]]
2012-01-06	5	$12695.44	[]
2012-01-07	6	$12695.44	[]
2012-01-08	7	$12695.44	[]
2012-01-09	1	$12695.44	[]
2012-01-10	2	$13113.91	[['IPXL', 0.04185]]
2012-01-11	3	$13113.91	[]
2012-01-12	4	$13113.91	[]
2012-01-13	5	$13204.74	[['AME', -0.01769], ['CREE', 0.02677]]
2012-01-14	6	$13204.74	[]
2012-01-15	7	$13204.74	[]
2012-01-16	1	$13204.74	[]
2012-01-17	2	$13204.74	[]
2012-01-18	3	$13204.74	[]
2012-01-19	4	$13204.74	[]
2012-01-20	5	$12951.87	[['ONNN', -0.02529]]
2012-01-21	6	$12951.87	[]
2012-01-22	7	$12951.87	[]
2012-01-23	1	$12951.87	[]
2012-01-24	2	$12951.87	[]
2012-01-25	3	$12951.87	[]
2012-01-26	4	$13225.29	[['ILMN', 0.02734]]
2012-01-27	5	$13225.29	[]
2012-01-28	6	$13225.29	[]
2012-01-29	7	$13225.29	[]
2012-01-30	1	$13225.29	[]
2012-01-31	2	$13225.29	[]
2012-02-01	3	$13225.29	[]
2012-02-02	4	$13225.29	[]
2012-02-03	5	$13204.29	[['RDWR', -0.0021]]
2012-02-04	6	$13204.29	[]
2012-02-05	7	$13204.29	[]
2012-02-06	1	$13204.29	[]
2012-02-07	2	$13204.29	[]
2012-02-08	3	$13204.29	[]
2012-02-09	4	$13204.29	[]
2012-02-10	5	$13234.01	[['ARRS', -0.02137], ['ARUN', -0.00042], ['KRG', 0.02425], ['RF', -0.0107], ['STI', 0.00766], ['TEX', 0.00355]]
2012-02-11	6	$13234.01	[]
2012-02-12	7	$13234.01	[]
2012-02-13	1	$13234.01	[]
2012-02-14	2	$13234.01	[]
2012-02-15	3	$13311.02	[['RAX', 0.0077]]
2012-02-16	4	$13311.02	[]
2012-02-17	5	$13205.49	[['ITRI', -0.01055]]
2012-02-18	6	$13205.49	[]
2012-02-19	7	$13205.49	[]
2012-02-20	1	$13205.49	[]
2012-02-21	2	$13205.49	[]
2012-02-22	3	$13205.49	[]
2012-02-23	4	$13205.49	[]
2012-02-24	5	$13341.17	[['LAMR', 0.00678], ['LAMR', 0.00678]]
2012-02-25	6	$13341.17	[]
2012-02-26	7	$13341.17	[]
2012-02-27	1	$13341.17	[]
2012-02-28	2	$13341.17	[]
2012-02-29	3	$13341.17	[]
2012-03-01	4	$13341.17	[]
2012-03-02	5	$13341.17	[]
2012-03-03	6	$13341.17	[]
2012-03-04	7	$13341.17	[]
2012-03-05	1	$13341.17	[]
2012-03-06	2	$13792.14	[['AIXG', 0.01884], ['ALL', 0.00705], ['DKS', -0.042], ['IRIS', 0.01401], ['P', 0.01518], ['PRGO', 0.0073], ['SYKE', 0.0061], ['WY', 0.01861]]
2012-03-07	3	$13792.14	[]
2012-03-08	4	$13792.14	[]
2012-03-09	5	$13792.14	[]
2012-03-10	6	$13792.14	[]
2012-03-11	7	$13792.14	[]
2012-03-12	1	$13792.14	[]
2012-03-13	2	$13792.14	[]
2012-03-14	3	$13953.88	[['PTR', 0.01617]]
2012-03-15	4	$13953.88	[]
2012-03-16	5	$13953.88	[]
2012-03-17	6	$13953.88	[]
2012-03-18	7	$13953.88	[]
2012-03-19	1	$13953.88	[]
2012-03-20	2	$14366.35	[['NUE', 0.01128], ['PKD', 0.02997]]
2012-03-21	3	$14366.35	[]
2012-03-22	4	$14236.5	[['HERO', 0.01139], ['SABA', -0.02437]]
2012-03-23	5	$14236.5	[]
2012-03-24	6	$14236.5	[]
2012-03-25	7	$14236.5	[]
2012-03-26	1	$14236.5	[]
2012-03-27	2	$14236.5	[]
2012-03-28	3	$14471.94	[['DANG', 0.02354]]
2012-03-29	4	$14471.94	[]
2012-03-30	5	$14304.93	[['AMLN', -0.0167]]
2012-03-31	6	$14304.93	[]
